declaracao_pessoa_cnpj,declaracao_item_pessoa_cnpj,declaracao_item_municipio,declaracao_codigo,declaracao_item_codigo,declaracao_item_quantidade,ano
8289417000128,8289417000128.0,Paulo Lopes,498846,7411164.0,0.3481,4047
8289417000128,50668722001916.0,Biguaçu,1995424,29644704.0,1.2587000000000002,16188
8321661000120,50668722001916.0,Biguaçu,3990626,59283232.0,0.3972,32376
8585935000199,50668722001916.0,Biguaçu,2998234,44495346.0,2.4491199999999997,24282
8717030000125,8837034000147.0,Itajaí,171877,2604321.0,625.0,2022
8909439000143,6199829000141.0,Canoinhas,920110,13839190.0,5.2,8094
8935681000191,50668722001916.0,Biguaçu,2496300,37074860.0,184.41164,20235
8944802000161,6101313000112.0,Içara,7201616,108562952.0,1405.1299999999999,72825
9268917000146,9268917000146.0,Blumenau,167560,2540074.0,1.59,2022
9436576000170,8810422000134.0,Caçador,1722463,23846313.0,650.5,20225
9436576000170,45989050001404.0,Três Barras,2680029,38771231.0,5806.081,30341
9436576000170,77911261000350.0,Santa Cecília,1962707,28365671.0,519.64,22250
9436576000170,81905176001409.0,Curitibanos,2574784,38510005.0,7797.64,28321
9436576000170,83056804000130.0,Caçador,2361902,34846309.0,1795.3600000000001,26297
9436576000170,84932748000201.0,Santa Cecília,476300,5876937.0,238.0,6066
10443676000103,6123883000103.0,Lacerdópolis,377831,5821229.0,0.0002,4046
10619295000132,59105999003959.0,Joinville,15684684,231133980.0,7408.26,125457
10619295000213,29958609000150.0,Joinville,15101710,223164926.0,10826.057999999999,121410
11148262000114,50668722001916.0,Biguaçu,2498348,37079160.0,26.38476,20235
11170829000159,2888183000159.0,Caçador,338648,5116342.0,0.31000000000000005,4044
11170829000159,75416677000104.0,Caçador,338648,5116342.0,3.96,4044
11201681000172,83074302000131.0,Caçador,1507308,22256758.0,7299.700000000001,12141
11312860000187,50668722001916.0,Biguaçu,2497786,37078200.0,25.66584,20235
11607006000148,50668722001916.0,Biguaçu,2497310,37077106.0,10.2856,20235
11828418000108,5666925000190.0,Mafra,2053691,29699202.0,2979.37,24267
11881221000132,3391986000166.0,Concórdia,185512,2805449.0,37.79,2023
11881221000132,8810422000134.0,Caçador,185496,2805429.0,10.0,2023
11881221000132,45989050001404.0,Três Barras,2304523,33088493.0,6753.0,26295
11881221000132,77911261000350.0,Santa Cecília,3603105,52726663.0,2245.6,40456
11881221000132,84932748000201.0,Santa Cecília,185514,2805460.0,42.0,2023
12084484000183,72332778001008.0,Anchieta,171233,2600396.0,0.00276,2022
12092636000190,50668722001916.0,Biguaçu,1496658,22233648.0,26.59714,12141
12092636000190,82892316000108.0,Palhoça,498876,7411202.0,0.0123,4047
13335068000254,72332778001008.0,Anchieta,189785,2923919.0,0.0004,2023
13774839000129,83631051000149.0,Rio do Sul,155132,1930162.0,36.0,2022
14459450000151,4647090000168.0,Chapecó,158542,2770130.0,10.0,2023
14863267000117,4647090000168.0,Chapecó,341257,5169352.0,0.4,4044
14863267000117,5026402000189.0,Iporã do Oeste,7187785,109243472.0,0.574,70811
16978577000102,95886735000847.0,Brusque,363494,5525875.0,5727.75,4046
20002225000194,8837034000147.0,Itajaí,171887,2604344.0,40.0,2022
23051064000117,83102541000158.0,Porto União,11893126,179507298.0,41.6,105222
24334612000189,24334612000189.0,Timbó,919564,13838010.0,0.0143,8094
27397940000112,3111139000109.0,Timbó,626669,7746438.0,1154.08,8088
27855148000164,95886735000170.0,Brusque,473940,5870025.0,0.025,6066
31049979000116,1606852000190.0,Bocaína do Sul,8308209,122720696.0,1343.27,82941
31049979000116,1613120000127.0,Chapadão do Lageado,7463246,110122313.0,561.47,72828
31049979000116,75326066000175.0,Otacílio Costa,8308209,122720853.0,11326.8,82941
31049979000116,78493343000122.0,Celso Ramos,7124803,105811071.0,301.75,70805
31049979000116,82765488000102.0,Taió,9267783,137015997.0,15673.02,91035
31049979000116,82777319000192.0,Campo Belo do Sul,8308209,122720746.0,3150.18,82941
31049979000116,82777335000185.0,Anita Garibaldi,8308209,122720679.0,3590.05,82941
31049979000116,82844754000192.0,Bom Jardim da Serra,209282,3144882.0,9.94,2023
31049979000116,83102251000104.0,Pomerode,156145,1939796.0,7.03,2022
31049979000116,83102418000137.0,Ibirama,989304,14603628.0,2235.2380000000003,8094
31049979000116,83102426000183.0,Dona Emma,989304,14603628.0,134.864,8094
31049979000116,83102434000120.0,Presidente Getúlio,1958520,29200628.0,2030.3600000000001,16188
31049979000116,83102574000106.0,Rio do Sul,9392840,139100079.0,66676.008,93058
31049979000116,83102582000144.0,Agrolândia,1480396,21842954.0,1338.2482,12141
31049979000116,83102616000109.0,Atalanta,989304,14603628.0,98.34800000000001,8094
31049979000116,83102624000147.0,Aurora,989304,14603628.0,352.01,8094
31049979000116,83102657000197.0,Laurentino,3305906,49554852.0,2726.02,28329
31049979000116,83102673000180.0,Petrolândia,491092,7239284.0,109.596,4047
31049979000116,83102681000126.0,Pouso Redondo,8308209,122720898.0,10311.55,82941
31049979000116,83102707000136.0,Rio do Campo,982184,14478614.0,349.08000000000004,8094
31049979000116,83102723000129.0,Salete,7817117,115481655.0,3589.68,78894
31049979000116,83102731000175.0,Trombudo Central,8771243,129659242.0,8502.789999999999,86988
31049979000116,83102848000159.0,Garuva,2903229,41434184.0,5278.28,34380
31049979000116,87851200000136.0,Bom Jesus,8308209,122720851.0,6163.08,82941
31049979000116,87866745000116.0,Vacaria,6695779,98212113.0,32272.309999999998,64738
31049979000116,95952230000167.0,Braço do Trombudo,5007211,73198635.0,567.74,54612
31049979000116,95952248000169.0,Mirim Doce,8159760,120860884.0,918.42,80919
31049979000116,95991097000158.0,Cerro Negro,156145,1939790.0,10.7,2022
36763716000198,6101313000112.0,Içara,4648305,70130781.0,245.995,44515
36763716000198,83073536000164.0,Laguna,2312018,35311026.0,160.74,26299
39525677000189,3392348000593.0,Pescaria Brava,189735,2923742.0,0.006,2023
44109400000105,95886735000170.0,Brusque,173751,2610761.0,0.0042,2022
46656138000144,10351637000267.0,Itajaí,3329700,50027088.0,55.24865,30351
49572629000103,3094629000136.0,Itajaí,398724,6086210.0,0.002,4046
49572629000103,49572629000103.0,Itajaí,190751,2927888.0,0.001,2023
50668722001916,82892316000108.0,Palhoça,966300,14355868.0,29115.08,8094
50668722001916,82892332000192.0,Anitápolis,991320,14643754.0,143.56,8094
50668722001916,82892357000196.0,Rancho Queimado,153791,1901890.0,30.7,2022
50668722001916,82924390000150.0,Leoberto Leal,637295,9088680.0,47.5,6069
50668722001916,82951195000110.0,Angelina,991320,14643758.0,154.22,8094
59374918000143,34929226000193.0,Rio dos Cedros,962782,12830776.0,937.6322,12132
60526977020951,3094629000136.0,Xanxerê,460266,6919710.0,0.048,4047
72332778000451,1613428000172.0,Luzerna,1461917,19523762.0,1080.0,18198
72332778000451,82777251000141.0,Treze Tílias,1461917,19523767.0,1350.0,18198
72332778000451,82939380000199.0,Joaçaba,1461917,19523757.0,5727.3,18198
72332778000451,82939398000190.0,Água Doce,1461917,19523732.0,900.0,18198
72332778000451,82939414000145.0,Catanduvas,1461917,19523753.0,1733.5900000000001,18198
72332778000451,82939422000191.0,Erval Velho,1461917,19523742.0,558.0,18198
72332778000451,82939430000138.0,Herval D'Oeste,1121055,14365874.0,2575.48,14154
72332778000966,1566621000108.0,Flor do Sertão,1461810,19522973.0,63.0,18198
72332778000966,83021808000182.0,Chapecó,789692,9740178.0,21581.45,10110
72332778000966,83021816000129.0,Caxambu do Sul,1461810,19522938.0,324.0,18198
72332778000966,83021840000168.0,Nova Erechim,1461810,19522989.0,450.0,18198
72332778000966,83021857000115.0,Pinhalzinho,1461810,19522974.0,3240.0,18198
72332778000966,83021881000154.0,Saudades,471369,5825116.0,354.0,6066
72332778000966,83028415000109.0,São Miguel do Oeste,1461810,19522986.0,1413.0,18198
72332778000966,95990107000130.0,Sul Brasil,340858,5157824.0,80.0,4044
72332778001008,1593132000137.0,Jupiá,1462920,19526482.0,180.0,18198
72332778001008,1612836000100.0,Princesa,1289527,16917310.0,176.0,16176
72332778001008,82821174000180.0,São Miguel do Oeste,1289527,16917274.0,6631.56,16176
72332778001008,82821216000182.0,Guaraciaba,1462920,19526492.0,1080.0,18198
72332778001008,83028639000102.0,Palma Sola,1123893,14604706.0,623.0,14154
73446320000143,18118074000192.0,Rodeio,186152,2816465.0,1.0,2023
75193516000107,5666925000190.0,Mafra,9713123,143447238.0,4056.92,93064
75326066000175,31049979000116.0,Otacílio Costa,10248161,150849748.0,11962.26874,99129
75438655000145,83073536000164.0,Lages,12414219,183083125.0,10565.18,107229
75438655000145,83073536000164.0,Laguna,507452,7464096.0,397.36,4047
75654566000136,5666925000190.0,Mafra,2250038,32394739.0,1515.82,26292
76002658000102,5666925000190.0,Mafra,4628445,67757905.0,2123.12,50567
76323633000100,1612744000120.0,Iomerê,9837080,145346900.0,2024.48,95082
76323633000100,5994435000112.0,Celso Ramos,6903691,101340443.0,500.12,68778
76323633000100,30753960000193.0,Videira,1515150,22349766.0,6219.92,12141
76323633000100,72332778000451.0,Erval Velho,1213335,17416289.0,6317.9800000000005,14155
76323633000100,78497492000160.0,Timbó Grande,9837080,145346773.0,2440.82,95082
76323633000100,78511052000110.0,Abdon Batista,9837080,145346976.0,921.41,95082
76323633000100,82826462000127.0,Arroio Trinta,9837080,145346951.0,2694.45,95082
76323633000100,82827148000169.0,Pinheiro Preto,9837080,145346848.0,3044.29,95082
